PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Inhibition,Standard Deviation
RESULT_TYPE,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,Normalized percent inhibition of the primary screen at a compound concentration of 6 micromolar.,Standard deviation of the counterscreen assay derived from the normalized percent inhibition of the triplicate data for each compound.
RESULT_UNIT,,,,,,,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,6,
53,14723875,460749,Active,52,,,48.34,3.22805
54,14725513,3206295,Active,43,,,40.01,0.595784
55,14725720,3206178,Inactive,10,,,9.57,0.554193
56,14726701,705256,Inactive,3,,,3.45,1.44401
57,14727509,900806,Inactive,0,,,-1.09,0.662767
58,14728954,9549963,Inactive,6,,,5.6,1.66526
59,14729445,5918347,Inactive,2,,,2.04,1.42667
60,14730808,2966450,Inactive,0,,,-4.4,1.80927
61,14732355,9550250,Inactive,0,,,-1.18,0.378443
62,14736510,2917531,Inactive,0,,,-0.31,2.09667
63,14740088,2057165,Inactive,0,,,-6.42,2.20738
64,14740696,1120962,Active,42,,,39.05,0.488434
65,14742908,4371580,Active,30,,,27.98,0.728778
66,14743467,930290,Inactive,4,,,4.31,3.33105
67,14744335,2320755,Inactive,10,,,9.73,4.02986
68,14744406,2417657,Active,57,,,53.24,0.682847
69,14745741,1189783,Inactive,0,,,-2.62,0.319967
70,14746567,4181547,Inactive,0,,,-3.49,1.38508
71,16952893,3686662,Active,43,,,39.97,1.21534
72,17385722,3590295,Inactive,9,,,8.34,0.460718
73,17386164,1007780,Inactive,0,,,0.76,0.822305
74,17387471,9563955,Inactive,0,,,-0.53,0.35627
75,17401333,1008368,Active,100,,,92.3,0.089819
76,17401475,4077726,Inactive,3,,,3.04,1.94879
77,17401826,1907744,Inactive,1,,,1.52,0.43141
78,17403492,826461,Inactive,0,,,-1.9,0.916459
79,17406684,3962842,Inactive,0,,,-1.41,2.92911
80,17407916,778154,Inactive,6,,,5.81,1.66022
81,17407993,3091264,Inactive,6,,,5.54,1.84567
82,17408025,9563422,Inactive,0,,,-6.4,0.148531
83,17408483,615593,Active,38,,,35.62,1.75927
84,17408805,1083882,Active,46,,,42.94,0.658734
85,17408960,7314640,Inactive,2,,,2.12,1.37927
86,17409047,3197965,Active,74,,,69.18,0.236733
87,17409268,3202425,Active,40,,,37.31,0.948237
88,17410512,1632360,Inactive,0,,,-0.23,0.865022
89,17410957,1475477,Inactive,1,,,1.46,0.979852
90,17411587,9566932,Inactive,9,,,9.05,1.33313
91,17412005,5341357,Inactive,0,,,0.02,0.822814
92,17412484,9566958,Inactive,2,,,2.22,0.489369
93,17412497,5735038,Active,35,,,32.39,0.328154
94,17412676,2294766,Active,16,,,15.3,2.44275
95,17412961,5734490,Active,54,,,49.96,1.00846
96,17412962,799395,Active,20,,,18.46,1.00225
97,17413361,5734448,Active,46,,,42.87,2.36258
98,17413735,2963113,Inactive,0,,,-5.28,1.04005
99,17413872,2974727,Inactive,0,,,-1.8,1.408
100,17414134,5509654,Active,61,,,56.65,0.332521
101,17415251,2898209,Inactive,8,,,7.68,0.79387
102,17415335,1327906,Inactive,9,,,8.4,0.8272
103,17415883,1341336,Inactive,4,,,4.13,2.0119
104,17432029,970829,Active,16,,,15,0.586731
105,17504153,3640363,Inactive,0,,,-0.91,0.146883
106,17504373,1975036,Inactive,8,,,7.84,0.514452
107,17504708,859620,Active,88,,,81.27,1.00325
108,17504819,738894,Inactive,0,,,-2.58,1.24171
109,17505456,135497987,Inactive,2,,,2.45,1.5819
110,17508548,2928698,Inactive,2,,,2.01,1.55334
111,17508646,859639,Active,47,,,44.25,0.86897
112,17509939,4330749,Active,30,,,27.82,1.73914
113,17510666,12005302,Inactive,0,,,-1.67,2.62723
114,17513585,722579,Inactive,0,,,-6.96,0.235939
115,17514671,3774350,Inactive,0,,,-3.6,0.399501
116,17514753,2134372,Active,25,,,23.15,1.91526
117,17515015,2147111,Inactive,2,,,2.76,0.901939
118,17515023,9557232,Active,17,,,16.46,0.978567
119,17515261,3257857,Inactive,0,,,-1.86,0.634638
120,17515361,5399054,Active,17,,,16.47,0.822335
121,17515918,2106192,Inactive,0,,,0.77,0.837571
122,17516410,4447969,Inactive,0,,,-1.2,1.44353
123,17517377,4961648,Active,64,,,59.36,0.876337
124,17517478,2454965,Active,50,,,46.59,1.12786
125,22400507,2849510,Active,30,,,28.36,1.71277
126,22403583,2561190,Inactive,11,,,10.99,1.2097
127,22404029,1121490,Active,37,,,34.76,0.853617
